,UNH,JNJ,PFE,ABBV,LLY,TMO,MRK,ABT,DHR,BMY,MDT,AMGN,CVS,ANTM,ISRG,ZTS,SYK,CI,REGN,BDX,GILD,EW,VRTX,BSX,HCA,HUM,ILMN,CNC,MCK,DXCM,IQV,IDXX,BAX,A,RMD,BIIB,MTD,ALGN,WST,CERN,ZBH,LH,STE,ABC,PKI,COO,MOH,HOLX,WAT,CTLT,CAH,DGX,TECH,TFX,INCY,CRL,ABMD,VTRS,HSIC,BIO,UHS,XRAY
MDT,0.0001289966838952844,8.810461824215905e-05,8.588313630136247e-05,0.00011256034398578345,8.907433312620954e-05,0.00010352531135890208,9.114813376433055e-05,0.00012341389155069455,9.861894586698186e-05,9.14602127551365e-05,0.00021293809366665522,0.00010829989994298484,9.44709270345529e-05,0.00013614442583049897,0.00016010882464206067,0.00012102449009066277,0.00017377741129715436,0.0001335594735616189,9.063819702497036e-05,0.0001001740252862222,8.227049041427672e-05,0.00016385683467589176,0.0001170737209130439,0.00017270916392142017,0.0001549297212884422,0.00012249385189961308,0.00014039145719848983,0.00014310159376761762,0.00011260381979302321,0.000137441305260708,0.00014301478824750984,0.00011307316777134037,0.00011292892777321818,0.0001265260299102703,0.00011684464671432378,9.30252141003613e-05,0.00012238712981975448,0.0001944624273013595,9.683151845483715e-05,9.52435203844794e-05,0.00016633136607183962,0.00012265471823489212,0.00012636531286911785,0.0001046706023440741,0.00010604585538956801,0.00013154898462308144,0.0001316532043150591,0.0001148057220641956,0.00011702491477662027,0.0001316180860177069,0.00011801928297030929,9.05695735852801e-05,0.00010173227334314969,0.00015282764906619098,0.00011455283234432444,0.00013871456268106148,0.0001349372533148414,0.00012309801857422314,0.00012235322928387825,8.882272135299838e-05,0.00017096585355611156,0.00013315106141430723
AMGN,0.00013448790749285617,0.00010442474891023987,0.00011768603098357513,0.00014759024816708252,0.00013324566796153397,0.0001269885399380184,0.0001226179904802809,0.00013677776765785138,0.00010792355116848497,0.00012241604993252722,0.00010829989994298484,0.00025663958451643695,0.00011475015671384187,0.00012927072282791248,0.00012759490461506084,0.00012364752321498737,0.00011138548532305401,0.00013155991457889876,0.0001823951785351541,9.989400335167764e-05,0.0001474904933524657,0.00013349133191855827,0.00019830198872590918,0.00012496959981103494,0.00010452731823130055,0.00011974777093258576,0.0001695390779410511,0.00014576229049694306,0.000148879570568331,0.0001302584306763798,0.0001307363006805757,0.00011965695074875537,0.00011086099096385948,0.00013242174652742448,0.00012371228090471588,0.00019292680058029602,0.00012168341252510051,0.0001482844317021913,0.00011406754303942765,0.00010277973369602861,0.00010854177277584995,0.00011384950910539295,0.00011249397651305337,0.00013584159298673913,0.00011503148921628047,0.00010598855417993743,0.00014327067551339205,0.00011611841271357583,0.00011894232585093528,0.00014583698035540584,0.00013894500781586695,9.469356055073236e-05,0.00011040278377271393,0.00010755113562892128,0.00018544826666350319,0.0001390283659092436,0.00012784281358215404,0.00013159352358224538,0.00010614726694468096,0.00011454742978174941,0.00011854774480457492,9.117896698666297e-05
CVS,0.0001423491088143993,8.628291592229807e-05,9.797019519767287e-05,0.00010538975603188906,9.941052015735116e-05,8.643028079758324e-05,9.146254609453205e-05,0.00010017839735180653,7.833279296603654e-05,8.868217584499077e-05,9.44709270345529e-05,0.00011475015671384187,0.0002629958746612796,0.00014728512672174154,9.520474034498342e-05,8.9917490995325e-05,0.00010047423884315455,0.00015787039726535224,9.31761440270145e-05,8.70504058200911e-05,9.20341294061329e-05,9.311560736715225e-05,9.861418965637105e-05,0.00010339377637228771,0.00011731286924770977,0.00012690316067024427,8.425075068598779e-05,0.00014475785034201072,0.00016813843356178591,6.824702996067522e-05,9.189260893751527e-05,7.224971904008114e-05,8.978688165398366e-05,9.805037375018812e-05,8.266649065141966e-05,0.00010970849730631078,8.558955223768533e-05,0.00011232009217898505,7.3292523811544e-05,9.043940692988084e-05,8.84933506756655e-05,0.00010906315431829918,8.949276082786093e-05,0.00015790321314270497,8.22962506695392e-05,8.603270528889312e-05,0.00013222968162699534,8.726126848683554e-05,9.446941153927604e-05,9.110380663690245e-05,0.00017207407041637052,9.058304290664389e-05,7.484990750801844e-05,8.423106468680076e-05,9.33279879634344e-05,9.666836320170892e-05,6.423654133124456e-05,0.00013260772920287376,0.00011953710750660653,7.559275500647295e-05,0.00012203403336415175,0.00010914075001922258
ANTM,0.0002543232152739687,9.63207327934044e-05,0.00011548617502319377,0.00013915446051178027,0.00012446879329819686,0.00012912385606366527,0.00011156333826910004,0.00013910169820707964,0.00011372599894723719,0.00010721829271434732,0.00013614442583049897,0.00012927072282791248,0.00014728512672174154,0.0003614704897699827,0.00016440608544141086,0.00014846890675331053,0.0001552266849590194,0.00027385073543556647,0.00011584851359813255,0.00011521483829326072,8.87126554961987e-05,0.00014739436835723866,0.00014562203621854128,0.0001562987728724243,0.00018884078465087993,0.00025795944943332615,0.00013595459218997436,0.000277601950840495,0.0001615232609500193,0.0001343752571117952,0.00018038415765260856,0.00012925920077344334,0.00011287429791528399,0.0001416153087069442,0.00012082857979211406,0.00015653185802929747,0.00013138238628065558,0.0002106567772347132,0.0001102512916394809,0.00010800260208414295,0.00014204959445707362,0.00016506655173686025,0.00012555171072295348,0.0001529723657844879,0.00013117717693103794,0.000126562758023121,0.0002713524527730477,0.0001318329543845379,0.00012705981574463358,0.00016480410132091637,0.0001537618760344234,0.00012961922656397153,0.00011586703111047365,0.00013890464506336578,0.00013550333662496882,0.00017031815857933795,0.00013047203350728502,0.0001397220609867687,0.00014215442353785683,0.00011634908265721052,0.00019553257196373936,0.00013922956621685792
ISRG,0.00015434774725721614,8.798066847812433e-05,9.285908801072567e-05,0.00012022090486333567,0.00010425412704629099,0.00016062725447692517,9.711068690243365e-05,0.0001659556432840183,0.0001384539311915364,9.844023886261647e-05,0.00016010882464206067,0.00012759490461506084,9.520474034498342e-05,0.00016440608544141086,0.0003466554960931834,0.0001617016972050669,0.00019288777158511672,0.00015387903179574054,0.0001260587062942962,0.0001177498925927673,9.649640823648882e-05,0.00022058905500365987,0.00016486763911528903,0.00019524539308285926,0.00016660231456196422,0.00014620520560607513,0.0002141720203308504,0.0001799333558152053,0.00012679948098913383,0.000234589395375863,0.00019581512433167555,0.00019462908725000446,0.00013438497576629676,0.00017841977444156922,0.00016874038050818208,0.00013160216056249064,0.00017838756378748814,0.0002869697140242232,0.00014828641058730913,0.00012625518767852122,0.0001706827159302585,0.00014672249134592552,0.00015867121422939246,0.0001117203988384457,0.00016447353794534901,0.00015281487128732712,0.0001781374931617168,0.00015587372361010164,0.00015732582213215412,0.0001884722135948738,0.00012074698243692469,0.00011208668086897552,0.00015563616712339988,0.00018821858805188296,0.0001531367479531611,0.00020380342819710919,0.00021189502512340791,0.00012908826344759923,0.00012693326776765082,0.00014936521263951487,0.00016642213006410987,0.00012712577682534175
ZTS,0.0001427582986631553,9.033592634601103e-05,0.00010335606083124106,0.00012519061410022338,0.00012368547735638484,0.00014074935236707542,0.00010967047988399037,0.00014044186329784705,0.00012382861246550828,0.00010605716143695608,0.00012102449009066277,0.00012364752321498737,8.9917490995325e-05,0.00014846890675331053,0.0001617016972050669,0.00025889228454131915,0.0001411806868382393,0.00014065187690134068,0.00012094474706716987,0.00010337229029896745,9.735715912702682e-05,0.00015784157282989477,0.00015767784179132697,0.00014130217134432525,0.00013631912040928395,0.00013984706144228232,0.00016686256464860602,0.00015144268157560537,0.00012558835541094765,0.00015732935686072863,0.00016895743829344254,0.00017138661035812606,0.00010342418322948775,0.00014771953300281806,0.0001255869581959744,0.00014011602122804986,0.0001460172575848222,0.00020313745990817712,0.00013123219047875544,9.69188053581748e-05,0.0001170659834736082,0.0001387220058733468,0.00012500721814400625,0.00011359398764094413,0.0001415889365294811,0.00011610440965567459,0.00016060150976108964,0.00013661337138799555,0.00012563334211998346,0.00017068178735131216,0.00010837366951435315,0.00011264172902577013,0.0001245920343926783,0.00013157420978360742,0.00015048618715778463,0.00017513791451294808,0.0001435927269010405,0.0001217789240396974,9.990186268019107e-05,0.000132375146503396,0.00013617024209125635,0.00010282358775035249
SYK,0.00014359816381322098,9.893929439447232e-05,9.172135471159664e-05,0.0001205243583003428,9.4621598841135e-05,0.0001194894295140155,9.343712254556334e-05,0.00014088752227661353,0.00011685574823832983,8.9336780551108e-05,0.00017377741129715436,0.00011138548532305401,0.00010047423884315455,0.0001552266849590194,0.00019288777158511672,0.0001411806868382393,0.00026282527060071594,0.00014661206403785362,8.898667685274508e-05,0.00011042464947878,8.392519059816692e-05,0.00019098512560902588,0.00013355639909052843,0.0001892366789469493,0.0001837506779192408,0.00013591037587663523,0.00015188311579792616,0.00016613675903988915,0.00011540404325090512,0.0001616317302404391,0.00016626719700887926,0.00014361738254026942,0.0001236846481379953,0.00013992234121485843,0.0001361926354024071,9.26607272108632e-05,0.00015093982950220897,0.00022576879597772037,0.00011345445337859751,0.00010826458988644957,0.0001985886981208633,0.00014255573098652282,0.0001450113532997222,0.00010771117190875217,0.000127110833855581,0.0001493362527185527,0.0001568792271035301,0.00013761258329610628,0.00013875439752818674,0.000151413484090929,0.00012284802019337527,0.00010573947394722924,0.000120522537363775,0.0001881407653629129,0.00012279412784530123,0.00016366978506254443,0.00015868912277428846,0.00013391475475265507,0.00013606568803127913,0.00011105357221818625,0.0001932813119058718,0.00015107519926472573
CI,0.00023090600246097656,9.012847732817418e-05,0.00010734128461912727,0.00013856012157500083,0.00012083974170722553,0.0001128845020439276,0.00010834355919133105,0.00012448179654164283,9.685445168455586e-05,0.00010439187141944952,0.0001335594735616189,0.00013155991457889876,0.00015787039726535224,0.00027385073543556647,0.00015387903179574054,0.00014065187690134068,0.00014661206403785362,0.000371491446677188,0.00010539799738433665,0.00010244721228706812,8.975912395934669e-05,0.00014192651380571134,0.00014663633303419198,0.00014944595751884658,0.0001909078309263921,0.00023962743975398622,0.000125740188481974,0.0002494708136356313,0.00016857324034248895,0.0001269920816171277,0.00016281826249801696,0.00010971034530614944,0.00010687119671971815,0.0001295937589103365,0.0001122466918095199,0.00016133283499634266,0.00011813258840244267,0.00019709583975683842,9.423992541293944e-05,0.00010545522162190109,0.00014190514134634273,0.0001532417507297123,0.00012251215770780032,0.000156547105986574,0.00011553550320898307,0.00012287966768703435,0.0002367856722457455,0.00012029694264568391,0.00011606227509814895,0.00014903927534547486,0.00017081561179550968,0.00012030920005889189,9.63162997125551e-05,0.000133673975032741,0.0001328562823063001,0.00015993968161481307,0.00013513590181462562,0.0001525304101525935,0.00014025440624737588,0.00010455669724784124,0.00020401836837346434,0.0001400131434491628
REGN,0.00011506604232413047,8.619495343276066e-05,0.00010685663993325418,0.0001364664477914696,0.00013885269762549876,0.0001294113322228474,0.00011290559452090321,0.0001384255006193298,0.00010562759387152473,0.00012502703111687827,9.063819702497036e-05,0.0001823951785351541,9.31761440270145e-05,0.00011584851359813255,0.0001260587062942962,0.00012094474706716987,8.898667685274508e-05,0.00010539799738433665,0.0004414211334977532,9.38338515850538e-05,0.00017293743788430752,0.00013621781000214167,0.0002524917710914062,0.0001177975620004226,8.574419168388447e-05,0.00011263310861247767,0.00019037676617438283,0.0001236323322657047,0.00014058633119408713,0.00017277981168132783,0.00013188898193535625,0.00012703100294430672,9.774059304037155e-05,0.0001279513630327674,0.000128270943448004,0.0002252094276693897,0.00012358561269619473,0.00015629434560259666,0.00013390481371678803,0.00010700260118459502,8.859817119589366e-05,0.00010746139459555074,0.00010620128047413197,0.00012499920462767428,0.00011957023918095778,0.00010655095877114825,0.0001334881461066278,0.00012743845991087895,0.00010532611052118452,0.0001650536888670964,0.00012840334151698448,0.0001007885805771953,0.00013385098430230766,8.609655772469055e-05,0.00025752839593779436,0.0001641221125656159,0.00014647306880038132,0.0001593993439507374,8.995380255651987e-05,0.00013409776221668762,9.422839570312903e-05,7.471312856737552e-05
BDX,0.00010857686924060381,8.132835633984384e-05,8.681766500239516e-05,9.719666497654278e-05,9.212990254708855e-05,0.00011821733516086901,8.629195301375894e-05,0.00012298053132062136,9.979965449883527e-05,8.135702253762736e-05,0.0001001740252862222,9.989400335167764e-05,8.70504058200911e-05,0.00011521483829326072,0.0001177498925927673,0.00010337229029896745,0.00011042464947878,0.00010244721228706812,9.38338515850538e-05,0.00019712280077453036,7.610348274289842e-05,0.00011086490232018278,0.00011396448538418315,0.00011862589177637667,8.873699556360505e-05,9.895931815843936e-05,0.00012930224480985902,0.00013069107689642776,9.372848527698772e-05,9.501787306832934e-05,0.00010839532383315206,0.00010038710392556168,0.00011561232959728343,0.00011544388820360296,0.00010776452035404834,9.127732866687239e-05,0.00010639539396701831,0.00012951924503582069,9.992503036905436e-05,8.28121393808029e-05,8.980112201684913e-05,0.00010338325824258123,9.653957515240592e-05,8.692016754356202e-05,0.00010457418089905007,9.765506477703763e-05,0.00011706837466699368,0.00011588518486462169,0.0001015641270495342,0.00010588378348256259,0.00010003595255856885,9.179187169725052e-05,8.58078532742777e-05,0.000112356721008129,0.00010051135422973276,0.00010993981744591168,9.87546470397909e-05,0.0001031125311473378,9.094900301434688e-05,9.873685434068149e-05,9.547129305494607e-05,8.505121335213587e-05
